[il],[ilce],[mahalle/koy],[lat],[lon]
ADANA, CEYHAN, HÜRRİYET MAH., 37.030695, 35.821535
ADANA, CEYHAN, IRMAKLI MAH., 37.215657, 35.978183
ADANA, CEYHAN, ISIRGANLI MAH., 37.099646, 35.668677
ADANA, CEYHAN, İMRAN MAH., 37.034124, 35.972595
ADANA, CEYHAN, İNCETARLA MAH., 37.088931, 35.863702
ADANA, CEYHAN, İNCEYER MAH., 37.176664, 35.863666
ADANA, CEYHAN, İNÖNÜ MAH., 37.040180, 35.816037
ADANA, CEYHAN, İSALI MAH., 36.919448, 35.721399
ADANA, CEYHAN, İSTİKLAL MAH., 37.030076, 35.831299
ADANA, CEYHAN, KALTAKİYE MAH., 37.031977, 35.813225
ADANA, CEYHAN, KARAKAYALI MAH., 37.130192, 35.892070
ADANA, CEYHAN, KELEMETİ MAH., 37.020813, 35.792061
ADANA, CEYHAN, KILIÇKAYA MAH., 36.877963, 35.705706
ADANA, CEYHAN, KIVRIKLI MAH., 37.081324, 35.724130
ADANA, CEYHAN, KIZILDERE MAH., 36.945395, 35.683194
ADANA, CEYHAN, KONAKOĞLU MAH., 37.028931, 35.815678
ADANA, CEYHAN, KORUKLU MAH., 37.052112, 35.810288
ADANA, CEYHAN, KÖPRÜLÜ MAH., 37.096106, 35.921059
ADANA, CEYHAN, KÖRKUYU MAH., 36.947976, 35.824580
ADANA, CEYHAN, KÖSRELİ MAH., 37.162135, 35.977590
ADANA, CEYHAN, KURTKULAĞI MAH., 36.923862, 35.885854
ADANA, CEYHAN, KURTPINAR MAH., 36.926877, 35.929386
ADANA, CEYHAN, KUZUCAK MAH., 37.056273, 35.997353
ADANA, CEYHAN, KÜÇÜKBURHANİYE MAH., 37.009893, 35.741459
ADANA, CEYHAN, KÜÇÜKKIRIM MAH., 37.043464, 35.813315
ADANA, CEYHAN, KÜÇÜKMANGIT MAH., 37.028758, 35.812426
ADANA, CEYHAN, MERCİMEK MAH., 37.104913, 35.793606
ADANA, CEYHAN, MİTHAT PAŞA MAH., 37.019964, 35.822918
ADANA, CEYHAN, MODERNEVLER MAH., 37.019315, 35.802212
ADANA, CEYHAN, MURADİYE MAH., 37.021217, 35.811105
ADANA, CEYHAN, MUSTAFABEYLİ MAH., 37.077841, 36.072847
ADANA, CEYHAN, NAMIK KEMAL MAH., 37.011744, 35.819037
ADANA, CEYHAN, NARLIK MAH., 36.914760, 35.850757
ADANA, CEYHAN, SAĞIRLAR MAH., 36.976134, 35.927015
ADANA, CEYHAN, SAĞKAYA MAH., 37.179388, 35.690479
ADANA, CEYHAN, SARIBAHÇE MAH., 37.190256, 35.831695
ADANA, CEYHAN, SARIMAZI MAH., 36.966194, 35.969487
ADANA, CEYHAN, SARISAKAL MAH., 37.011816, 35.804970
ADANA, CEYHAN, SELİMİYE MAH., 36.995764, 35.962606
ADANA, CEYHAN, SİRKELİ MAH., 36.996124, 35.750765
ADANA, CEYHAN, SOĞUKPINAR MAH., 37.027253, 35.964511
